idx|::|node_id|::|title|::|authors|::|date|::|arxiv_uri
67|::|1113|::|Weak form factors for heavy meson decays: an update|::|D. Melikhov;B. Stech|::|2000-01-13T15:03:41+00:00|::|http://arxiv.org/abs/hep-ph/0001113v3
68|::|1297|::|Predictions on $B \to π\bar{l} ν_l$, $D \to π\bar{l} ν_l$ and $D\to K \bar{l} ν_l$ from QCD Light-Cone Sum Rules|::|A. Khodjamirian;R. Rückl;S. Weinzierl;C. W. Winhart;O. Yakovlev|::|2000-01-28T16:12:59+00:00|::|http://arxiv.org/abs/hep-ph/0001297v2
69|::|2227|::|Weak Phase $γ$ and Strong Phase $δ$ from CP Averaged $B\to ππ$ and $πK$ Decays|::|Yue-Liang Wu;Yu-Feng Zhou|::|2000-02-22T02:44:32+00:00|::|http://arxiv.org/abs/hep-ph/0002227v3
70|::|3323|::|Constraints on the CKM Angle $γ$ and Strong Phases from $B\toπK$ Decays|::|Andrzej J. Buras;Robert Fleischer|::|2000-03-31T15:34:44+00:00|::|http://arxiv.org/abs/hep-ph/0003323v1
71|::|4004|::|Fat penguins and imaginary penguins in perturbative QCD|::|Yong-Yeon Keum;Hsiang-nan Li;A. I. Sanda|::|2000-04-01T07:26:36+00:00|::|http://arxiv.org/abs/hep-ph/0004004v3
72|::|4173|::|Penguin Enhancement and $B\to Kπ$ decays in perturbative QCD|::|Y. -Y. Keum;H. -n. Li;A. I. Sanda|::|2000-04-18T08:32:27+00:00|::|http://arxiv.org/abs/hep-ph/0004173v1
73|::|4213|::|Branching Ratio and CP Violation of B to pi pi Decays in Perturbative QCD Approach|::|C. D. Lu;K. Ukai;M. Z. Yang|::|2000-04-24T07:20:24+00:00|::|http://arxiv.org/abs/hep-ph/0004213v3
74|::|5006|::|Analysis of the Decays B-> ππand πK with QCD Factorization in the Heavy Quark Limit|::|Du Dongsheng;Yang Deshan;Zhu Guohuai|::|2000-04-30T12:52:23+00:00|::|http://arxiv.org/abs/hep-ph/0005006v2
75|::|6001|::|Nonleptonic charmless B decays: factorization vs perturbative QCD|::|Yong-Yeon Keum;Hsiang-nan Li|::|2000-06-01T05:54:44+00:00|::|http://arxiv.org/abs/hep-ph/0006001v1
76|::|6022|::|$B\to ππ, K π$ Decays in QCD Improved Factorization Approach|::|Taizo Muta;Akio Sugamoto;Mao-Zhi Yang;Ya-Dong Yang|::|2000-06-02T09:17:43+00:00|::|http://arxiv.org/abs/hep-ph/0006022v2
77|::|6124|::|QCD factorization for exclusive, non-leptonic B meson decays: General arguments and the case of heavy-light final states|::|M. Beneke;G. Buchalla;M. Neubert;C. T. Sachrajda|::|2000-06-13T06:07:04+00:00|::|http://arxiv.org/abs/hep-ph/0006124v1
78|::|6225|::|The interplay between Weak and Strong Phases and Direct CP Violation from the Charmless B-meson Decays|::|Y. F. Zhou;Y. L. Wu;J. N. Ng;C. Q. Geng|::|2000-06-20T02:16:47+00:00|::|http://arxiv.org/abs/hep-ph/0006225v2
79|::|6351|::|Final state interaction and $B\to KK$ decays in perturbative QCD|::|Chuan-Hung Chen;Hsiang-nan Li|::|2000-06-30T13:16:10+00:00|::|http://arxiv.org/abs/hep-ph/0006351v1
80|::|6357|::|CP Violation in Exclusive B Decays: Recoil Phase Effect|::|B. F. L. Ward|::|2000-06-30T20:04:09+00:00|::|http://arxiv.org/abs/hep-ph/0006357v4
81|::|7038|::|B ->PV Decays in the QCD Improved Factorization Approach|::|Mao-Zhi Yang;Ya-Dong Yang|::|2000-07-05T06:38:19+00:00|::|http://arxiv.org/abs/hep-ph/0007038v2
82|::|7136|::|Final-state Rescattering Effects on B_d-->ππDecays and CP Violation|::|Zhi-zhong Xing|::|2000-07-13T13:41:42+00:00|::|http://arxiv.org/abs/hep-ph/0007136v2
83|::|7256|::|QCD factorization for $B\toπK$ decays|::|M. Beneke;G. Buchalla;M. Neubert;C. T. Sachrajda|::|2000-07-24T11:12:26+00:00|::|http://arxiv.org/abs/hep-ph/0007256v1
84|::|7360|::|Implications of a Low sin(2 beta): A Strategy for Exploring New Flavor Physics|::|Alexander L. Kagan;Matthias Neubert|::|2000-07-31T17:26:52+00:00|::|http://arxiv.org/abs/hep-ph/0007360v1
85|::|8004|::|Implications of the possibility that sin(2 beta) is small|::|Joao P. Silva;Lincoln Wolfenstein|::|2000-08-01T08:21:36+00:00|::|http://arxiv.org/abs/hep-ph/0008004v1
86|::|8009|::|Implications of a Small CP Asymmetry in B->ψK_S|::|Galit Eyal;Yosef Nir;Gilad Perez|::|2000-08-01T12:46:38+00:00|::|http://arxiv.org/abs/hep-ph/0008009v1
87|::|8018|::|Possible Implications of Small or Large CP Violation in B^0_d vs \bar{B}^0_d --> J/ψK_S Decays|::|Zhi-zhong Xing|::|2000-08-02T16:12:48+00:00|::|http://arxiv.org/abs/hep-ph/0008018v2
88|::|8159|::|$B\to φK$ and $B\to φX_s$ in the Heavy Quark Limit|::|Xiao-Gang He;J. P. Ma;Chung-Yi Wu|::|2000-08-16T01:58:14+00:00|::|http://arxiv.org/abs/hep-ph/0008159v2
89|::|8216|::|QCD Factorization For B Decays To Two Light Pseudoscalars Including Chirally Enhanced Corrections|::|Dongsheng Du;Deshan Yang;Guohuai Zhu|::|2000-08-21T04:59:25+00:00|::|http://arxiv.org/abs/hep-ph/0008216v3
90|::|8255|::|Symmetry-breaking corrections to heavy-to-light B meson form factors at large recoil|::|M. Beneke;Th. Feldmann|::|2000-08-24T10:28:39+00:00|::|http://arxiv.org/abs/hep-ph/0008255v2
91|::|8273|::|A Lower Bound on sin 2βfrom Minimal Flavour Violation|::|Andrzej J. Buras;Robert Buras|::|2000-08-25T14:35:25+00:00|::|http://arxiv.org/abs/hep-ph/0008273v1
92|::|9042|::|Enhanced Direct CP Violation in $B^{\pm} \to ρ^{0} π^{\pm}$|::|X. -H. Guo;O. Leitner;A. W. Thomas|::|2000-09-05T00:19:01+00:00|::|http://arxiv.org/abs/hep-ph/0009042v1
93|::|9054|::|Contribution of Inelastic Rescatterring to $B \to ππ, K \bar{K}$ Decays|::|P. Zenczykowski|::|2000-09-05T13:47:38+00:00|::|http://arxiv.org/abs/hep-ph/0009054v1
94|::|9210|::|Analysis of $B \to Kπ$ decays with small elastic final state interactions|::|Claudia Isola;T. N. Pham|::|2000-09-18T15:01:29+00:00|::|http://arxiv.org/abs/hep-ph/0009210v2
95|::|11238|::|$B\to πρ$, $πω$ Decays in Perturbative QCD Approach|::|Cai-Dian Lü;Mao-Zhi Yang|::|2000-11-20T09:58:47+00:00|::|http://arxiv.org/abs/hep-ph/0011238v2
96|::|11358|::|Non-factorizable contributions in B decays revisited|::|K. Terasaki|::|2000-11-29T03:33:51+00:00|::|http://arxiv.org/abs/hep-ph/0011358v1
97|::|12152|::|Analysis of B-> φK Decays in QCD Factorization|::|Hai-Yang Cheng;Kwei-Chou Yang|::|2000-12-13T16:18:48+00:00|::|http://arxiv.org/abs/hep-ph/0012152v3
98|::|12208|::|Revisiting Charmless Two-Body B Decays involving $η^{\prime}$ and $η$|::|Mao-Zhi Yang;Ya-Dong Yang|::|2000-12-17T18:30:28+00:00|::|http://arxiv.org/abs/hep-ph/0012208v3
99|::|12271|::|$B \to ππ$ Decay in QCD|::|Alexander Khodjamirian|::|2000-12-20T13:43:06+00:00|::|http://arxiv.org/abs/hep-ph/0012271v2
100|::|101118|::|Charming penguin contributions to B => K π|::|C. Isola;M. Ladisa;G. Nardulli;T. N. Pham;P. Santorelli|::|2001-01-11T17:25:32+00:00|::|http://arxiv.org/abs/hep-ph/0101118v2
101|::|101190|::|Renormalon Analysis of Heavy-Light Exclusive B Decays|::|Craig N. Burrell;Alexander R. Williamson|::|2001-01-17T05:11:59+00:00|::|http://arxiv.org/abs/hep-ph/0101190v1
102|::|102012|::|Factorization and hadronic B decays in the heavy quark limit|::|W. N. Cottingham;I. B. Whittingham;N. de Groot;F. Wilson|::|2001-02-02T06:07:29+00:00|::|http://arxiv.org/abs/hep-ph/0102012v3
103|::|102077|::|Infrared Divergence and Twist-3 Distribution Amplitudes in QCD Factorization For $B \to PP$|::|Dongsheng Du;Deshan Yang;Guohuai Zhu|::|2001-02-07T08:59:26+00:00|::|http://arxiv.org/abs/hep-ph/0102077v3
104|::|102219|::|Asymptotics of QCD Factorization in Exclusive Hadronic Decays of B Mesons|::|Thomas Becher;Matthias Neubert;Ben D. Pecjak|::|2001-02-17T21:36:16+00:00|::|http://arxiv.org/abs/hep-ph/0102219v1
105|::|103020|::|Comment on studying the corrections to factorization in B -> D(*) X|::|Zoltan Ligeti;Michael Luke;Mark B. Wise|::|2001-03-01T22:11:22+00:00|::|http://arxiv.org/abs/hep-ph/0103020v2
0|::|9907233|::|The Radiative Decay of Vector Mesons|::|T. -L. Zhuang;X. -J. Wang;M. -L. Yan|::|1999-07-05T14:17:06+00:00|::|http://arxiv.org/abs/hep-ph/9907233v3
1|::|9301253|::|Scalar Mesons in $φ$ Radiative Decay: their implications for spectroscopy and for studies of CP-violation at $φ$ factories|::|F. E. Close;Nathan Isgur;S. Kumano|::|1993-01-21T11:20:00+00:00|::|http://arxiv.org/abs/hep-ph/9301253v1
2|::|9504304|::|U(2)_{L}\times U(2)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-04-14T14:20:48+00:00|::|http://arxiv.org/abs/hep-ph/9504304v1
3|::|9505235|::|U(3)_{L}\times U(3)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-05-05T01:24:41+00:00|::|http://arxiv.org/abs/hep-ph/9505235v1
4|::|9506257|::|The decay $ρ^0 \to π^+ π^- γ$ and the chiral invariant interactions of vector mesons|::|K. Huber;H. Neufeld|::|1995-06-07T15:02:44+00:00|::|http://arxiv.org/abs/hep-ph/9506257v1
5|::|9606402|::|Theory of tau mesonic decays|::|Bing An Li|::|1996-06-21T13:24:09+00:00|::|http://arxiv.org/abs/hep-ph/9606402v3
6|::|9607354|::|Tau mesonic decays and strong anomaly of PCAC|::|Bing An Li|::|1996-07-17T15:36:33+00:00|::|http://arxiv.org/abs/hep-ph/9607354v1
7|::|9611297|::|Electromagnetic mass splittings of $π, a_1, K, K_1(1400)$ and $K^*(892)$|::|Dao-Neng Gao;Bing An Li;Mu-Lin Yan|::|1996-11-11T09:16:56+00:00|::|http://arxiv.org/abs/hep-ph/9611297v2
8|::|9702314|::|Chiral Symmetry Amplitudes in the S-Wave Isoscalar and Isovector Channels and the σ, f_0(980), a_0(980) Scalar Mesons|::|J. A. Oller;E. Oset|::|1997-02-12T16:42:04+00:00|::|http://arxiv.org/abs/hep-ph/9702314v2
9|::|9704296|::|Chiral Perturbation Theory and U(3)_L\times U(3)_R Chiral Theory of Mesons|::|Xiao-Jun Wang;Mu-Lin Yan|::|1997-04-11T13:33:18+00:00|::|http://arxiv.org/abs/hep-ph/9704296v2
10|::|9803214|::|The phi --> gamma K0 bar(K0) Decay|::|J. A. Oller|::|1998-03-02T12:34:43+00:00|::|http://arxiv.org/abs/hep-ph/9803214v1
11|::|9903217|::|Radiative decay of rho^0 and phi mesons in a chiral unitary approach|::|E. Marco;S. Hirenzaki;E. Oset;H. Toki|::|1999-03-01T17:01:59+00:00|::|http://arxiv.org/abs/hep-ph/9903217v2
12|::|9311274|::|On the Foundations of Chiral Perturbation Theory|::|H. Leutwyler|::|1993-11-11T15:42:24+00:00|::|http://arxiv.org/abs/hep-ph/9311274v1
13|::|9502335|::|Chiral Lagrangians and Nambu-Jona-Lasinio like models|::|Johan Bijnens|::|1995-02-17T09:23:21+00:00|::|http://arxiv.org/abs/hep-ph/9502335v1
14|::|9611296|::|Electromagnetic Masses of the Massive Yang-Mills Particles K^*(892)|::|Mu-Lin Yan;Dao-Neng Gao|::|1996-11-11T09:17:39+00:00|::|http://arxiv.org/abs/hep-ph/9611296v1
15|::|9612258|::|Dashen's theorem and electromagnetic masses of the mesons|::|Dao-Neng Gao;Mu-Lin Yan;Bing-An Li|::|1996-12-05T10:41:59+00:00|::|http://arxiv.org/abs/hep-ph/9612258v2
16|::|9301203|::|Measuring the Wess-Zumino Anomaly in Tau Decays|::|R. Decker;E. Mirkes|::|1993-01-04T15:05:00+00:00|::|http://arxiv.org/abs/hep-ph/9301203v2
17|::|9301206|::|Implications of $τ$ Decays into Strange Scalar and Axial Vector Mesons|::|Harry J. Lipkin|::|1993-01-05T14:25:00+00:00|::|http://arxiv.org/abs/hep-ph/9301206v1
18|::|9502274|::|Properties of the a1 Meson from Lattice QCD|::|Matthew Wingate;Thomas DeGrand;Sara Collins;Urs M. Heller|::|1995-02-10T21:47:28+00:00|::|http://arxiv.org/abs/hep-ph/9502274v2
19|::|9503474|::|Tau Decays into Kaons|::|Markus Finkemeier;Erwin Mirkes|::|1995-03-30T15:40:35+00:00|::|http://arxiv.org/abs/hep-ph/9503474v2
20|::|9302247|::|Recent Developments in Chiral Perturbation Theory|::|Ulf-G. Meißner|::|1993-02-11T10:18:01+00:00|::|http://arxiv.org/abs/hep-ph/9302247v1
21|::|9501357|::|Chiral perturbation theory|::|Gerhard Ecker|::|1995-01-23T10:32:54+00:00|::|http://arxiv.org/abs/hep-ph/9501357v1
22|::|9501384|::|Chiral Dynamics in Nucleons and Nuclei|::|V. Bernard;N. Kaiser;Ulf-G. Meißner|::|1995-01-26T12:54:43+00:00|::|http://arxiv.org/abs/hep-ph/9501384v1
23|::|9502366|::|Chiral Perturbation Theory|::|A. Pich|::|1995-02-22T14:19:34+00:00|::|http://arxiv.org/abs/hep-ph/9502366v1
24|::|9504372|::|UNDERSTANDING THE SCALAR MESON $q\bar q$ NONET|::|Nils A. Törnqvist|::|1995-04-24T10:34:40+00:00|::|http://arxiv.org/abs/hep-ph/9504372v1
25|::|9511210|::|Resurrection of the Sigma Meson|::|Nils A. Tornqvist;Matts Roos|::|1995-11-02T07:11:52+00:00|::|http://arxiv.org/abs/hep-ph/9511210v1
26|::|9610453|::|Nonet Classification of Scalar/Isoscalar Resonances in the Mass Region below 1900 MeV: Observation of the Lightest Scalar Glueball|::|A. V. Anisovich;V. V. Anisovich;Yu. D. Prokoshkin;A. V. Sarantsev|::|1996-10-23T07:55:00+00:00|::|http://arxiv.org/abs/hep-ph/9610453v1
27|::|9706487|::|Theoretical Study of the γγ-->meson-meson Reaction|::|J. A. Oller;E. Oset|::|1997-06-24T14:41:37+00:00|::|http://arxiv.org/abs/hep-ph/9706487v2
28|::|9211239|::|Effective Hadron Dynamics: From Meson Masses to the Proton Spin Puzzle|::|J. Schechter;A. Subbaraman;H. Weigel|::|1992-11-11T20:28:00+00:00|::|http://arxiv.org/abs/hep-ph/9211239v1
29|::|9302217|::|Violations of Dashen's Theorem|::|J. Bijnens|::|1993-02-04T12:07:47+00:00|::|http://arxiv.org/abs/hep-ph/9302217v2
30|::|9405341|::|Virtual Photons in Chiral Perturbation Theory|::|R. Urech|::|1994-05-20T11:08:05+00:00|::|http://arxiv.org/abs/hep-ph/9405341v2
31|::|9409335|::|The Strange Quark Mass from QCD Sum Rules|::|Matthias Jamin;Manfred M"unz|::|1994-09-15T21:46:05+00:00|::|http://arxiv.org/abs/hep-ph/9409335v2
32|::|9409371|::|Mass singularities in light quark correlators: the strange quark case|::|K. G. Chetyrkin;C. A. Dominguez;D. Pirjol;K. Schilcher|::|1994-09-21T14:08:57+00:00|::|http://arxiv.org/abs/hep-ph/9409371v1
33|::|9411285|::|Light Quark Masses from QCD|::|Johan Bijnens;Joaquim Prades;Eduardo de Rafael|::|1994-11-14T10:17:58+00:00|::|http://arxiv.org/abs/hep-ph/9411285v1
34|::|9508393|::|On the Corrections to Dashen's Theorem|::|Robert Baur;Res Urech|::|1995-08-29T16:19:45+00:00|::|http://arxiv.org/abs/hep-ph/9508393v2
35|::|9602366|::|The ratios of the light quark masses|::|H. Leutwyler|::|1996-02-22T09:45:16+00:00|::|http://arxiv.org/abs/hep-ph/9602366v1
36|::|9606210|::|Effective Chiral theory of Mesons|::|Bing An Li|::|1996-06-03T19:17:01+00:00|::|http://arxiv.org/abs/hep-ph/9606210v1
37|::|9610360|::|Electromagnetic Corrections for Pions and Kaons : Masses and Polarizabilities|::|Johan Bijnens;Joaquim Prades|::|1996-10-15T09:11:40+00:00|::|http://arxiv.org/abs/hep-ph/9610360v2
38|::|9605245|::|Production of scalar $K\bar K$ molecules in $φ$ radiative decays|::|N. N. Achasov;V. V. Gubin;V. I. Shevchenko|::|1996-05-07T18:18:33+00:00|::|http://arxiv.org/abs/hep-ph/9605245v1
39|::|9610282|::|The interference in the reaction $e^+e^-\toγπ^+π^-$ and the search for the decay $φ\toγf_0\toγπ^+π^-$|::|N. N. Achasov;V. V. Gubin;E. P. Solodov|::|1996-10-08T08:57:10+00:00|::|http://arxiv.org/abs/hep-ph/9610282v1
40|::|9803242|::|Non-perturbative Approach to effective chiral Lagrangians and Meson Interactions|::|J. A. Oller;E. Oset;J. R. Pelaez|::|1998-03-04T20:00:17+00:00|::|http://arxiv.org/abs/hep-ph/9803242v2
41|::|9804209|::|Meson-Meson interaction in a non-perturbative chiral approach|::|J. A. Oller;E. Oset;J. R. Pelaez|::|1998-04-02T03:38:49+00:00|::|http://arxiv.org/abs/hep-ph/9804209v1
42|::|9805334|::|KK bar scattering amplitude to one loop in chiral perturbation theory, its unitarization and pion form factors|::|Francisco Guerrero;Jose Antonio Oller|::|1998-05-15T09:08:33+00:00|::|http://arxiv.org/abs/hep-ph/9805334v1
43|::|112133|::|Status of the CKM matrix|::|M. Ciuchini|::|2001-12-10T12:10:38+00:00|::|http://arxiv.org/abs/hep-ph/0112133v1
44|::|2171|::|Determination of the CKM unitarity triangle parameters by end 1999|::|F. Caravaglios;F. Parodi;P. Roudeau;A. Stocchi|::|2000-02-16T11:12:14+00:00|::|http://arxiv.org/abs/hep-ph/0002171v4
45|::|12308|::|2000 CKM-Triangle Analysis A Critical Review with Updated Experimental Inputs and Theoretical Parameters|::|M. Ciuchini;G. D'Agostini;E. Franco;V. Lubicz;G. Martinelli;F. Parodi;P. Roudeau;A. Stocchi|::|2000-12-22T14:27:32+00:00|::|http://arxiv.org/abs/hep-ph/0012308v3
46|::|104062|::|A New Approach to a Global Fit of the CKM Matrix|::|A. Hocker;H. Lacker;S. Laplace;F. Le Diberder|::|2001-04-06T22:54:11+00:00|::|http://arxiv.org/abs/hep-ph/0104062v2
47|::|104110|::|QCD Factorization in B -> pi K, pi pi Decays and Extraction of Wolfenstein Parameters|::|M. Beneke;G. Buchalla;M. Neubert;C. T. Sachrajda|::|2001-04-11T16:21:37+00:00|::|http://arxiv.org/abs/hep-ph/0104110v1
48|::|112008|::|B Phenomenology|::|Sheldon Stone|::|2001-12-01T20:16:52+00:00|::|http://arxiv.org/abs/hep-ph/0112008v1
49|::|9403384|::|Waiting for the Top Quark Mass, K^+ --> π^+ ν\barν, B_s^0-\bar{B}_s^0 Mixing and CP Asymmetries in B-Decays|::|A. J. Buras;M. E. Lautenbacher;G. Ostermaier|::|1994-03-29T09:04:38+00:00|::|http://arxiv.org/abs/hep-ph/9403384v1
50|::|9501265|::|An Upgraded Analysis of $ε\prime/ε$ at the Next-to-Leading Order|::|M. Ciuchini;E. Franco;G. Martinelli;L. Reina;L. Silvestrini|::|1995-01-11T09:20:29+00:00|::|http://arxiv.org/abs/hep-ph/9501265v1
51|::|9512380|::|Weak Decays Beyond Leading Logarithms|::|Gerhard Buchalla;Andrzej J. Buras;Markus E. Lautenbacher|::|1995-12-15T13:32:51+00:00|::|http://arxiv.org/abs/hep-ph/9512380v1
52|::|9607469|::|Bayesian estimate of the effect of B^0B^0bar mixing measurements on the CKM matrix elements|::|David Jaffe;Saul Youssef|::|1996-07-30T14:14:24+00:00|::|http://arxiv.org/abs/hep-ph/9607469v1
53|::|9711261|::|Measurements of the $ρ$ and $η$ parameters of the $V_{CKM}$ matrix and perspectives|::|P. Paganini;F. Parodi;P. Roudeau;A. Stocchi|::|1997-11-07T13:43:40+00:00|::|http://arxiv.org/abs/hep-ph/9711261v1
54|::|9712252|::|Alternative Theories of CP violation|::|Riccardo Barbieri;Lawrence Hall;Achille Stocchi;Neal Weiner|::|1997-12-03T20:02:37+00:00|::|http://arxiv.org/abs/hep-ph/9712252v1
55|::|9910236|::|Combined analysis of the unitarity triangle and CP violation in the Standard Model|::|M. Ciuchini;E. Franco;L. Giusti;V. Lubicz;G. Martinelli|::|1999-10-05T10:50:07+00:00|::|http://arxiv.org/abs/hep-ph/9910236v1
56|::|9810333|::|Indirect Measurement of the Vertex and Angles of the Unitarity Triangle|::|Salvatore Mele|::|1998-10-13T04:59:49+00:00|::|http://arxiv.org/abs/hep-ph/9810333v1
57|::|9901418|::|A real CKM matrix?|::|P. Checchia;E. Piotto;F. Simonetto|::|1999-01-26T15:28:21+00:00|::|http://arxiv.org/abs/hep-ph/9901418v1
58|::|9908432|::||Vcb| and |Vub| from B Decays: Recent Progress and Limitations|::|Zoltan Ligeti|::|1999-08-22T19:58:48+00:00|::|http://arxiv.org/abs/hep-ph/9908432v1
59|::|9911280|::|Overall determination of the CKM matrix|::|S. Plaszczynski;M. H Schune|::|1999-11-09T11:07:51+00:00|::|http://arxiv.org/abs/hep-ph/9911280v1
60|::|9210215|::|QCD non-leading corrections to weak decays in the dimensional scheme|::|G. Curci;G. Ricciardi|::|1992-10-06T18:18:23+00:00|::|http://arxiv.org/abs/hep-ph/9210215v1
61|::|9211304|::|The Two-Loop Anomalous Dimension Matrix for $ΔS=1$ Weak Non-Leptonic Decays I: ${\cal O}(α_s^2)$|::|Andrzej J. Buras;Matthias Jamin;Markus E. Lautenbacher;Peter H. Weisz|::|1992-11-25T14:03:51+00:00|::|http://arxiv.org/abs/hep-ph/9211304v1
62|::|9211321|::|Two--Loop Anomalous Dimension Matrix for $ΔS=1$ Weak Non-Leptonic Decays II: ${\cal O}(α_e α_s)$|::|Andrzej J. Buras;Matthias Jamin;Markus E. Lautenbacher|::|1992-11-26T12:39:54+00:00|::|http://arxiv.org/abs/hep-ph/9211321v1
63|::|9212203|::|$ε^{\prime}/ε$ at the next-to-leading order in QCD and QED|::|M. Ciuchini;E. Franco;G. Martinelli;L. Reina|::|1992-12-01T22:24:05+00:00|::|http://arxiv.org/abs/hep-ph/9212203v1
64|::|9303284|::|The Anatomy of $\varepsilon'/\varepsilon$ Beyond Leading Logarithms with Improved Hadronic Matrix Elements|::|Andrzej J. Buras;Matthias Jamin;Markus E. Lautenbacher|::|1993-03-19T08:53:27+00:00|::|http://arxiv.org/abs/hep-ph/9303284v1
65|::|9304257|::|The $ΔS=1$ Effective Hamiltonian Including Next-to-Leading Order QCD and QED Corrections|::|M. Ciuchini;E. Franco;G. Martinelli;L. Reina|::|1993-04-15T16:31:44+00:00|::|http://arxiv.org/abs/hep-ph/9304257v1
66|::|9406263|::|Quark Masses from Lattice QCD at the Next-to-Leading Order|::|C. R. Allton;M. Ciuchini;M. Crisafulli;E. Franco;V. Lubicz;G. Martinelli|::|1994-06-09T13:48:11+00:00|::|http://arxiv.org/abs/hep-ph/9406263v2
67|::|1113|::|Weak form factors for heavy meson decays: an update|::|D. Melikhov;B. Stech|::|2000-01-13T15:03:41+00:00|::|http://arxiv.org/abs/hep-ph/0001113v3
68|::|1297|::|Predictions on $B \to π\bar{l} ν_l$, $D \to π\bar{l} ν_l$ and $D\to K \bar{l} ν_l$ from QCD Light-Cone Sum Rules|::|A. Khodjamirian;R. Rückl;S. Weinzierl;C. W. Winhart;O. Yakovlev|::|2000-01-28T16:12:59+00:00|::|http://arxiv.org/abs/hep-ph/0001297v2
69|::|2227|::|Weak Phase $γ$ and Strong Phase $δ$ from CP Averaged $B\to ππ$ and $πK$ Decays|::|Yue-Liang Wu;Yu-Feng Zhou|::|2000-02-22T02:44:32+00:00|::|http://arxiv.org/abs/hep-ph/0002227v3
70|::|3323|::|Constraints on the CKM Angle $γ$ and Strong Phases from $B\toπK$ Decays|::|Andrzej J. Buras;Robert Fleischer|::|2000-03-31T15:34:44+00:00|::|http://arxiv.org/abs/hep-ph/0003323v1
71|::|4004|::|Fat penguins and imaginary penguins in perturbative QCD|::|Yong-Yeon Keum;Hsiang-nan Li;A. I. Sanda|::|2000-04-01T07:26:36+00:00|::|http://arxiv.org/abs/hep-ph/0004004v3
72|::|4173|::|Penguin Enhancement and $B\to Kπ$ decays in perturbative QCD|::|Y. -Y. Keum;H. -n. Li;A. I. Sanda|::|2000-04-18T08:32:27+00:00|::|http://arxiv.org/abs/hep-ph/0004173v1
73|::|4213|::|Branching Ratio and CP Violation of B to pi pi Decays in Perturbative QCD Approach|::|C. D. Lu;K. Ukai;M. Z. Yang|::|2000-04-24T07:20:24+00:00|::|http://arxiv.org/abs/hep-ph/0004213v3
74|::|5006|::|Analysis of the Decays B-> ππand πK with QCD Factorization in the Heavy Quark Limit|::|Du Dongsheng;Yang Deshan;Zhu Guohuai|::|2000-04-30T12:52:23+00:00|::|http://arxiv.org/abs/hep-ph/0005006v2
75|::|6001|::|Nonleptonic charmless B decays: factorization vs perturbative QCD|::|Yong-Yeon Keum;Hsiang-nan Li|::|2000-06-01T05:54:44+00:00|::|http://arxiv.org/abs/hep-ph/0006001v1
76|::|6022|::|$B\to ππ, K π$ Decays in QCD Improved Factorization Approach|::|Taizo Muta;Akio Sugamoto;Mao-Zhi Yang;Ya-Dong Yang|::|2000-06-02T09:17:43+00:00|::|http://arxiv.org/abs/hep-ph/0006022v2
77|::|6124|::|QCD factorization for exclusive, non-leptonic B meson decays: General arguments and the case of heavy-light final states|::|M. Beneke;G. Buchalla;M. Neubert;C. T. Sachrajda|::|2000-06-13T06:07:04+00:00|::|http://arxiv.org/abs/hep-ph/0006124v1
78|::|6225|::|The interplay between Weak and Strong Phases and Direct CP Violation from the Charmless B-meson Decays|::|Y. F. Zhou;Y. L. Wu;J. N. Ng;C. Q. Geng|::|2000-06-20T02:16:47+00:00|::|http://arxiv.org/abs/hep-ph/0006225v2
79|::|6351|::|Final state interaction and $B\to KK$ decays in perturbative QCD|::|Chuan-Hung Chen;Hsiang-nan Li|::|2000-06-30T13:16:10+00:00|::|http://arxiv.org/abs/hep-ph/0006351v1
80|::|6357|::|CP Violation in Exclusive B Decays: Recoil Phase Effect|::|B. F. L. Ward|::|2000-06-30T20:04:09+00:00|::|http://arxiv.org/abs/hep-ph/0006357v4
81|::|7038|::|B ->PV Decays in the QCD Improved Factorization Approach|::|Mao-Zhi Yang;Ya-Dong Yang|::|2000-07-05T06:38:19+00:00|::|http://arxiv.org/abs/hep-ph/0007038v2
82|::|7136|::|Final-state Rescattering Effects on B_d-->ππDecays and CP Violation|::|Zhi-zhong Xing|::|2000-07-13T13:41:42+00:00|::|http://arxiv.org/abs/hep-ph/0007136v2
83|::|7256|::|QCD factorization for $B\toπK$ decays|::|M. Beneke;G. Buchalla;M. Neubert;C. T. Sachrajda|::|2000-07-24T11:12:26+00:00|::|http://arxiv.org/abs/hep-ph/0007256v1
84|::|7360|::|Implications of a Low sin(2 beta): A Strategy for Exploring New Flavor Physics|::|Alexander L. Kagan;Matthias Neubert|::|2000-07-31T17:26:52+00:00|::|http://arxiv.org/abs/hep-ph/0007360v1
85|::|8004|::|Implications of the possibility that sin(2 beta) is small|::|Joao P. Silva;Lincoln Wolfenstein|::|2000-08-01T08:21:36+00:00|::|http://arxiv.org/abs/hep-ph/0008004v1
86|::|8009|::|Implications of a Small CP Asymmetry in B->ψK_S|::|Galit Eyal;Yosef Nir;Gilad Perez|::|2000-08-01T12:46:38+00:00|::|http://arxiv.org/abs/hep-ph/0008009v1
87|::|8018|::|Possible Implications of Small or Large CP Violation in B^0_d vs \bar{B}^0_d --> J/ψK_S Decays|::|Zhi-zhong Xing|::|2000-08-02T16:12:48+00:00|::|http://arxiv.org/abs/hep-ph/0008018v2
